x,t,psi_real,psi_imag
0.0,0.0,0.0,0.0
0.010101010101010102,0.0,0.044870073859038906,0.0
0.020202020202020204,0.0,0.08969496735717507,0.0
0.030303030303030304,0.0,0.13442954562629936,0.0
0.04040404040404041,0.0,0.1790287647380826,0.0
0.05050505050505051,0.0,0.2234477170593932,0.0
0.06060606060606061,0.0,0.2676416764704768,0.0
0.07070707070707072,0.0,0.31156614340036826,0.0
0.08080808080808081,0.0,0.3551768896341865,0.0
0.09090909090909091,0.0,0.39843000284719876,0.0
0.10101010101010102,0.0,0.4412819308208092,0.0
0.11111111111111112,0.0,0.4836895252959506,0.0
0.12121212121212122,0.0,0.5256100854197243,0.0
0.13131313131313133,0.0,0.5670014007415396,0.0
0.14141414141414144,0.0,0.6078217937154587,0.0
0.15151515151515152,0.0,0.6480301616659535,0.0
0.16161616161616163,0.0,0.6875860181748155,0.0
0.17171717171717174,0.0,0.7264495338475464,0.0
0.18181818181818182,0.0,0.7645815764181828,0.0
0.19191919191919193,0.0,0.8019437501521713,0.0
0.20202020202020204,0.0,0.8384984345076175,0.0
0.21212121212121213,0.0,0.874208822015983,0.0
0.22222222222222224,0.0,0.9090389553440875,0.0
0.23232323232323235,0.0,0.9429537635000929,0.0
0.24242424242424243,0.0,0.9759190971470215,0.0
0.25252525252525254,0.0,1.007901762988243,0.0
0.26262626262626265,0.0,1.038869557190309,0.0
0.27272727272727276,0.0,1.068791297809486,0.0
0.2828282828282829,0.0,1.097636856189328,0.0
0.29292929292929293,0.0,1.125377187297679,0.0
0.30303030303030304,0.0,1.151984358972561,0.0
0.31313131313131315,0.0,1.17743158004749,0.0
0.32323232323232326,0.0,1.2016932273279126,0.0
0.33333333333333337,0.0,1.2247448713915892,0.0
0.3434343434343435,0.0,1.2465633011869517,0.0
0.3535353535353536,0.0,1.2671265474046651,0.0
0.36363636363636365,0.0,1.28641390459886,0.0
0.37373737373737376,0.0,1.3044059520357616,0.0
0.38383838383838387,0.0,1.3210845732487209,0.0
0.393939393939394,0.0,1.3364329742799628,0.0
0.4040404040404041,0.0,1.3504357005906773,0.0
0.4141414141414142,0.0,1.3630786526224292,0.0
0.42424242424242425,0.0,1.3743490999942203,0.0
0.43434343434343436,0.0,1.3842356943209022,0.0
0.4444444444444445,0.0,1.3927284806400382,0.0
0.4545454545454546,0.0,1.3998189074357075,0.0
0.4646464646464647,0.0,1.405499835249157,0.0
0.4747474747474748,0.0,1.40976554386763,0.0
0.48484848484848486,0.0,1.4126117380841363,0.0
0.494949494949495,0.0,1.4140355520223618,0.0
0.5050505050505051,0.0,1.4140355520223618,0.0
0.5151515151515152,0.0,1.4126117380841363,0.0
0.5252525252525253,0.0,1.40976554386763,0.0
0.5353535353535354,0.0,1.405499835249157,0.0
0.5454545454545455,0.0,1.3998189074357075,0.0
0.5555555555555556,0.0,1.392728480640038,0.0
0.5656565656565657,0.0,1.384235694320902,0.0
0.5757575757575758,0.0,1.3743490999942203,0.0
0.5858585858585859,0.0,1.3630786526224294,0.0
0.595959595959596,0.0,1.350435700590677,0.0
0.6060606060606061,0.0,1.3364329742799628,0.0
0.6161616161616162,0.0,1.3210845732487209,0.0
0.6262626262626263,0.0,1.3044059520357616,0.0
0.6363636363636365,0.0,1.2864139045988598,0.0
0.6464646464646465,0.0,1.2671265474046651,0.0
0.6565656565656566,0.0,1.2465633011869517,0.0
0.6666666666666667,0.0,1.224744871391589,0.0
0.6767676767676768,0.0,1.2016932273279124,0.0
0.686868686868687,0.0,1.1774315800474897,0.0
0.696969696969697,0.0,1.151984358972561,0.0
0.7070707070707072,0.0,1.1253771872976788,0.0
0.7171717171717172,0.0,1.0976368561893277,0.0
0.7272727272727273,0.0,1.068791297809486,0.0
